pattern,n,n_docs,npmi,h_slot,g_squared,atp,delta_p,accepted,lane
"perf-be,pp_beyond_NP",1,1,0.19576430014287427,0.0,0.7795472524830993,0.47951211899197493,0.4630110836908949,False,
"past-be,pp_thru_NP",1,1,0.49341312133523335,0.0,0.7795472524830993,0.48527880137794843,0.97031866686157,False,
"pres-be,pp_inspite_NP",1,1,0.20167115117653522,0.0,0.7795472524830993,0.10058768868602143,0.18250257791278393,False,
"modal-be,pp_off_NP",2,1,0.03112741348335356,0.0,0.011260794684925024,0.36273122130431146,0.31654066888472254,False,
"pres-be,pp_a_NP",1,1,0.3347259593137793,0.0,0.7795472524830993,0.11771111542679018,0.2344585249569901,False,
"past-be,pp_toward_NP",1,1,0.3603583131979892,0.0,0.7795472524830993,0.48527880137794843,0.97031866686157,False,
"past-be,pp_throghout_NP",1,1,0.49341312133523335,0.0,0.7795472524830993,0.10328062555163876,0.1948084627799373,False,
"perf-be,pp_thorughout_NP",1,1,0.4066511815810544,0.0,0.7795472524830993,0.41971937505987494,0.23205133136891343,False,
"perf-be,pp_out_NP",1,1,-0.01512258129530582,0.0,0.7795472524830993,0.41211954247316934,0.30222676996540465,False,
"pres-be,pp_up_NP",2,1,-0.15468209751638873,0.0,0.011260794684925024,0.11010438234353352,0.2120621970051066,False,
"past-be,pp_over_NP",1,1,-0.05044346277544527,0.0,0.7795472524830993,0.18584325118539266,0.37031866686156995,False,
"pres-be,pp_across_NP",1,1,0.12383907787559924,0.0,0.7795472524830993,0.20383215140578498,0.4075354480339132,False,
"modal-be,pp_amangst_NP",2,1,0.1209047996797088,0.0,0.011260794684925024,0.39011295326367745,0.43593403981218243,False,
"modal-be,pp_amongst_NP",1,1,-0.20412586241826153,0.0,0.7795472524830993,0.3704689163799761,0.3612974873718917,False,
